#    lam  spec.e spec.sa spec.sb spec.sd  spec.ir
#
3886.260 0.42028 0.55532 0.64842 0.71835 0.90932
3887.150 0.41753 0.55358 0.64775 0.71981 0.92202
3888.050 0.41623 0.56307 0.66854 0.76969 1.07641
3888.940 0.42213 0.58112 0.69947 0.83505 1.33425
3889.840 0.42891 0.59133 0.71343 0.85978 1.48677
3890.730 0.44640 0.59684 0.70677 0.82382 1.37207
3891.630 0.47191 0.60365 0.69448 0.76534 1.13329
3892.520 0.49386 0.61223 0.68947 0.72795 0.93990
3893.420 0.50859 0.62495 0.70038 0.73607 0.88019
3894.320 0.51714 0.63645 0.71516 0.76041 0.89599
3895.210 0.52301 0.64431 0.72525 0.77699 0.92046
3896.110 0.52818 0.65355 0.73887 0.80257 0.95224
3897.010 0.53576 0.66350 0.75148 0.82300 0.97341
3897.910 0.53811 0.67058 0.76359 0.84833 1.01108
3898.800 0.53718 0.67259 0.76870 0.86113 1.02896
3899.700 0.53710 0.67313 0.76993 0.86396 1.03426
3900.600 0.53707 0.67523 0.77431 0.87403 1.05189
3901.500 0.53878 0.67909 0.78050 0.88633 1.06768
3902.400 0.53676 0.68108 0.78670 0.90292 1.09055
3903.290 0.52969 0.67769 0.78707 0.91182 1.11369
3904.190 0.52528 0.67472 0.78558 0.91327 1.11287
3905.090 0.52251 0.67189 0.78268 0.90958 1.11115
3905.990 0.52308 0.67195 0.78228 0.90786 1.10798
3906.890 0.53134 0.67994 0.79017 0.91651 1.10270
3907.790 0.54752 0.69328 0.80086 0.92261 1.10349
3908.690 0.56487 0.71046 0.81820 0.94281 1.12934
3909.590 0.57997 0.72966 0.84200 0.98066 1.17599
3910.490 0.59434 0.74137 0.85123 0.98544 1.17376
3911.390 0.60511 0.75039 0.85864 0.99014 1.17279
3912.290 0.61178 0.75630 0.86392 0.99459 1.16878
3913.190 0.61489 0.75630 0.86076 0.98350 1.15037
3914.090 0.61301 0.75475 0.85956 0.98276 1.14516
3915.000 0.60679 0.74830 0.85283 0.97413 1.14208
3915.900 0.59852 0.74139 0.84724 0.97054 1.13437
3916.800 0.59149 0.73772 0.84702 0.97800 1.14422
3917.700 0.58205 0.72922 0.83939 0.97106 1.15207
3918.600 0.56538 0.71334 0.82408 0.95450 1.12436
3919.510 0.54903 0.69965 0.81295 0.94734 1.12356
3920.410 0.53617 0.68853 0.80348 0.94002 1.12105
3921.310 0.52227 0.67794 0.79616 0.93891 1.13015
3922.210 0.51230 0.67077 0.79179 0.94013 1.13544
3923.120 0.50881 0.66830 0.79037 0.94073 1.13114
3924.020 0.50429 0.66542 0.78917 0.94306 1.13359
3924.920 0.49668 0.66020 0.78638 0.94524 1.14681
3925.830 0.48051 0.64466 0.77126 0.92862 1.13315
3926.730 0.45764 0.62313 0.75079 0.90726 1.10948
3927.640 0.42955 0.59893 0.73024 0.89173 1.10112
3928.540 0.39537 0.56770 0.70156 0.86428 1.07912
3929.450 0.35717 0.53146 0.66676 0.82726 1.03578
3930.350 0.31961 0.49582 0.63253 0.79085 1.00990
3931.260 0.28716 0.46376 0.60038 0.75333 0.96256
3932.160 0.25726 0.43272 0.56769 0.71164 0.91465
3933.070 0.23513 0.40482 0.53342 0.65732 0.84795
3933.970 0.22252 0.38891 0.51389 0.62631 0.80223
3934.880 0.22722 0.39349 0.51847 0.63147 0.80464
3935.780 0.24693 0.41733 0.54700 0.67506 0.85715
3936.690 0.27213 0.44736 0.58258 0.72874 0.92887
3937.600 0.30581 0.48343 0.62177 0.78100 0.98667
